Timestamp,Date,Time,Trade ID,Side,Market,Outcome,Condition ID,Token ID,Size,Price,USDC Value,Balance After,Strategy,Status
2026-01-08T11:35:15.598Z,1/8/2026,11:35:15 AM,paper_1767872115598_8eh1uuh25,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.4600,0.1752,0.43,9897.51,inventory-rebalancing,filled
2026-01-08T11:35:15.639Z,1/8/2026,11:35:15 AM,paper_1767872115639_wl0fndh0j,BUY,"Bitcoin Up or Down - January 8, 6AM ET",Up,0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,78066264955608331453782393322827480027742257997488697759837948356955559373604,2.2200,0.1350,0.30,9897.21,inventory-rebalancing,filled
2026-01-08T11:35:15.667Z,1/8/2026,11:35:15 AM,paper_1767872115667_85mo9rd4v,BUY,"Ethereum Up or Down - January 8, 6AM ET",Up,0x2687446918678f391c47e3957d080ca9ed2c88746a54b9f4ff4e29c48d679214,42375110701081380759607661294966661212238590577680769528916988296676175290359,2.2000,0.1151,0.25,9896.96,inventory-rebalancing,filled
2026-01-08T11:35:16.707Z,1/8/2026,11:35:16 AM,paper_1767872116707_woi3dmgay,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.4600,0.1749,0.43,9896.53,inventory-rebalancing,filled
2026-01-08T11:35:17.741Z,1/8/2026,11:35:17 AM,paper_1767872117741_nlhfnjvpu,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.4600,0.1751,0.43,9896.10,inventory-rebalancing,filled
2026-01-08T11:35:17.772Z,1/8/2026,11:35:17 AM,paper_1767872117772_frgn68c9g,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Down,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,59322254720850516190176241147196956449915265342761098364917013897779535071117,0.7800,0.8248,0.64,9895.45,inventory-rebalancing,filled
2026-01-08T11:35:18.810Z,1/8/2026,11:35:18 AM,paper_1767872118810_jgfhjmicd,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Up,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,101575171916879891478954061595881623623980891644266157744130925293917598947301,2.4600,0.1747,0.43,9895.02,inventory-rebalancing,filled
2026-01-08T11:35:18.845Z,1/8/2026,11:35:18 AM,paper_1767872118845_55mtoocct,BUY,"Ethereum Up or Down - January 8, 6:30AM-6:45AM ET",Down,0xcd42448d894cbe53e50912a5cf4589313e117454d88a94dc4cb3e684fd69c3c3,59322254720850516190176241147196956449915265342761098364917013897779535071117,1.1400,0.8247,0.94,9894.08,inventory-rebalancing,filled
2026-01-08T11:35:18.876Z,1/8/2026,11:35:18 AM,paper_1767872118876_p24m27zzx,BUY,"Bitcoin Up or Down - January 8, 6AM ET",Up,0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,78066264955608331453782393322827480027742257997488697759837948356955559373604,2.2200,0.1352,0.30,9893.78,inventory-rebalancing,filled
2026-01-08T11:35:18.905Z,1/8/2026,11:35:18 AM,paper_1767872118905_l2ek4q5rc,BUY,"Ethereum Up or Down - January 8, 6AM ET",Up,0x2687446918678f391c47e3957d080ca9ed2c88746a54b9f4ff4e29c48d679214,42375110701081380759607661294966661212238590577680769528916988296676175290359,2.2000,0.1149,0.25,9893.53,inventory-rebalancing,filled
