Timestamp,Date,Time,Trade ID,Side,Market,Outcome,Condition ID,Token ID,Size,Price,USDC Value,Fees,Balance After,Strategy,Status
2026-01-08T09:37:24.732Z,1/8/2026,9:37:24 AM,paper_1767865044732_3bawklae6,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,1.6300,0.8060,1.31,0.0013,9915.37,inventory-rebalancing,filled
2026-01-08T09:37:24.758Z,1/8/2026,9:37:24 AM,paper_1767865044758_u89oyq7i4,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,2.6300,0.1952,0.51,0.0005,9914.86,inventory-rebalancing,filled
2026-01-08T09:37:26.793Z,1/8/2026,9:37:26 AM,paper_1767865046793_jo2p6zwvf,BUY,"Bitcoin Up or Down - January 8, 4AM ET",Up,0xfef81c17d219dc9046381d40c3597ca270ee6206ccf644c72f1df3447606946e,99073299906610559393868830935772287279324248447052575948194928745976970597921,4.3300,0.2551,1.10,0.0011,9913.75,inventory-rebalancing,filled
2026-01-08T09:37:39.876Z,1/8/2026,9:37:39 AM,paper_1767865059876_t1i2ekb1y,BUY,"Ethereum Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xdc37a8cd6fc096598c8321a616e8e16788285dc9c349133b2e06465524298f27,105638751084143985816965754910383649127850909115592222495300235154769821092213,2.1600,0.1152,0.25,0.0002,9913.51,inventory-rebalancing,filled
2026-01-08T09:37:39.946Z,1/8/2026,9:37:39 AM,paper_1767865059946_5j7h7d2hx,BUY,"Ethereum Up or Down - January 8, 4AM ET",Up,0xd2e93f9547a8ac8f24b1f3d15ed6dcab0bd2809807fc29b498239f1fe1511510,89136115008613215795433808313370674124301070276837970023710004548506505497693,5.9800,0.3005,1.80,0.0018,9911.71,inventory-rebalancing,filled
2026-01-08T09:37:41.980Z,1/8/2026,9:37:41 AM,paper_1767865061980_cvhcsothu,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,1.3500,0.8263,1.12,0.0011,9910.59,inventory-rebalancing,filled
2026-01-08T09:37:42.005Z,1/8/2026,9:37:42 AM,paper_1767865062005_p869po81i,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,2.4600,0.1753,0.43,0.0004,9910.16,inventory-rebalancing,filled
2026-01-08T09:37:58.074Z,1/8/2026,9:37:58 AM,paper_1767865078074_d0umyb43i,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,1.3900,0.7750,1.08,0.0011,9909.08,inventory-rebalancing,filled
2026-01-08T09:37:58.135Z,1/8/2026,9:37:58 AM,paper_1767865078135_ihwa8epdj,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Down,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,8138229401522231884071216923945896157334321223208568963881426495611657873948,3.7000,0.2251,0.83,0.0008,9908.25,inventory-rebalancing,filled
2026-01-08T09:37:59.167Z,1/8/2026,9:37:59 AM,paper_1767865079167_9dnalzybr,BUY,"Bitcoin Up or Down - January 8, 4:30AM-4:45AM ET",Up,0xd5165ab3447f84be5dab03890db112493f4cd1f222a67278eed166621e325b5e,49276788276691603062445197795788007088227933641772975227863859726509662377204,2.0700,0.7749,1.60,0.0016,9906.64,inventory-rebalancing,filled
